Sentence,Intent_label
"Brazilian jiu jitsu or BJJ is a self defence martial art and combat sport based on grappling, ground fighting and submission holds.",hobby
"Brazilian jiu jitsu was initially developed in 1925 by Brazilian brothers Carlos, Oswaldo, Gastão Jr, George, and Hélio Gracie.",hobby
Philately involves more than just stamp collecting or the study of postage it is possible to be a philatelist without owning any stamps.,hobby
"Stand up comedy consists of one liners, stories, observations or a shtick that may incorporate props, music, magic tricks or ventriloquism.",hobby
Railway modelling or model railroading is a hobby in which rail transport systems are modelled at a reduced scale.,hobby
"Other frequently used terms to describe a book discussion club include reading group, book group and book discussion group.",hobby
"In woodworking and the decorative arts, refinishing refers to the act of repairing or reapplying the wood finishing on an object.",hobby
The model building level 5 requires expert level skills.,hobby
Stamp collecting is an area of philately.,hobby
Stamp collecting is the study or combined study and collection of stamps.,hobby
Following World War I commercial coffee roasting became prevalent.,hobby
With the distribution of instant coffee home roasting decreased substantially.,hobby
Today model building is no longer exclusively a hobbyist pursuit.,hobby
Homebrewing is closely related to the hobby of home distillation.,hobby
Home distillation the production of alcoholic spirits for personal consumption.,hobby
Home distillation is generally more tightly regulated.,hobby
Floral design or flower arrangement is the art of using plant materials and flowers to create an eye catching and balanced composition or display.,hobby
Second language acquisition or SLA sometimes called second language learning or otherwise referred to as L2 acquisition is the process by which people learn a second language.,hobby
Second language acquisition is also the scientific discipline devoted to studying that process.,hobby
Stand up comedy is a comedic performance to a live audience in which the performer addresses the audience directly from the stage.,hobby
Element collecting is the hobby of collecting the chemical elements.,hobby
Scuba diving is a mode of  underwater diving whereby divers use breathing equipment that is completely independent of a surface air supply.,hobby
Stamp collecting is the collecting of postage stamps and related objects.,hobby
Stamp collecting is generally accepted as one of the areas that make up the wider subject of philately which is the study of stamps.,hobby
"Mineral collecting is the hobby of systematically collecting, identifying and displaying mineral specimens.",hobby
"Stylistically rapping occupies a gray area between speech, prose, poetry and singing.",hobby
Creative writing can technically be considered any writing of original composition.,hobby
Watching documentaries.,hobby
Watching movies.,hobby
MW DX short for  mediumwave DXing is the hobby of receiving distant mediumwave known as AM in North America radio stations.,hobby
