Sentence,Intent_label
"Examples of sports include cricket, tennis, badminton, golf, bowling, bowls, croquet, pool, snooker, darts, curling, bodybuilding, swimming, diving, , sprinting, gymnastics and rowing.",sport
"Examples of sports include basketball, volleyball, baseball, handball, softball,  field hockey,  women's lacrosse, netball, korfball, Floorball, walking football, Squash, polo, ultimate, bandy, dodgeball and  underwater hockey.",sport
"Examples of contact sports are roller derby, association football, slamball, rugby league , rugby union , American football, Canadian football, water polo, lacrosse, kabaddi, hurling, Quidditch, shinty, Australian rules football, ice hockey,  wheelchair rugby and Gaelic football.",sport
"The governing bodies of the following sports are recognized by the IOC Cheerleading, Chess, Cricket, Dancespor, Floorball, Karate, Korfball, Motorcycle racing.",sport
"Most popular sports are both spectator and participant, for example association football, basketball, cricket, volleyball, golf, rugby and tennis.",sport
Clay pigeon shooting.,sport
Cross country skiing a form of travel on skis that is equivalent to running or hiking in snow.,sport
1st World Deaf Ice Hockey and Curling Championships.,sport
"Net sports usually include racquet sports such as tennis, badminton, pickleball and table tennis but not squash or racquetball where players must hit the ball towards a wall.",sport
"Full contact martial arts include wrestling, Sanshou, sumo, boxing, mixed martial arts, Brazilian jiu jitsu, Muay Thai, judo, various forms of full contact karate.",sport
Figure skating.,sport
"​​The governing bodies of the following sports are recognized by the IOC Air sports, American football, Auto racing, Bandy, Baseball and Softball, Billiard sports, Boules, Bowling, Bridge.",sport
Ice hockey.,sport
Mountain biking.,sport
"Although basketball, hockey, water polo and other sports have netting around the goal area designed to more clearly indicate when goals are scored, they are not usually considered net sports.",sport
Downhill mountain biking.,sport
"Examples of semi contact sports include karate, kalaripayattu, kickboxing, various Korean martial arts that incorporate contact rules sparring kendo and taekwondo.",sport
"The governing bodies of the following sports are recognized by the IOC: Squash, Sumo, Surfing, Tug of war, Underwater sports, Ultimate ie Flying disc.",sport
"Equestrianism, Equitation science, Dressage, Hunt seat, Reining, Saddle seat, Show Jumping.",sport
"Since the start of the World Games in 1981 a number of sports, including badminton, taekwondo and triathlon have all subsequently been incorporated into the Olympic program.",sport
FIM Cross Country Rallies  World Championship.,sport
"The three favorite net sports tennis, badminton, and volleyball usually involve arching of the back when serving or smashing the ball or bird.",sport
FIA World Cup for Cross Country Bajas.,sport
The Scrambling non technical rock climbing or mountaineering or technical hiking.,sport
Rogaining is a sport of long distance cross country navigation.,sport
The governing bodies for baseball and softball merged into a single international federation in 2013.,sport
The Freestyle BMX.,sport
Flag football is the equivalent spinoff from American football.,sport
"The governing bodies of the following sports are recognized by the IOC Mountaineering and Climbing, Muay Thai, Netball, Orienteering, Pelota Vasca.",sport
The sport named Basque Pelota.,sport
The sport named Tuscan Pelota.,sport
"Some names of sports include Biathlon, Amateur boxing,  Modern boxing,  Summer biathlon.",sport
Moose biathlon another  Nordic biathlon variant using fullbore rifles.,sport
Rowing on the River Thames.,sport
The game Austus is a combination of American football and Australian rules football played during World War II.,sport
"As with horse racing the handicapping of hamsters relies on observations of the speed, pace, form, and class of the animal.",sport
Clean and press List of World records in weightlifting.,sport
North American Blokart Sailing Association manages Sailing.,sport
Frisian handball.,sport
Tank biathlon  is a mechanized military sport event held by the Russian military.,sport
History of rugby union and the history of rugby league.,sport
History of English amateur cricket.,sport
Mini rugby also known as New Image Rugby is a form of rugby union designed to introduce the sport to children.,sport
"Ball sports are categorized as follows handball games , bowls and bowling, ball and bat games, racket and paddle games, football games, ball and raised goal games, invasion goal games, and other ball games.",sport
List of gymnastics competitions.,sport
List of gymnastics terms.,sport
List of 10 meter diving platforms in the United States.,sport
Athletics in upstate New York.,sport
"World Athletics formerly International Amateur Athletic Federation and International Association of Athletics Federations is the international governing body for the sport of athletics, covering track and field, cross country running, road running, race walking, mountain running, and ultra running.",sport
National Association of Intercollegiate Athletics ie the experts in the business of small college athletics.,sport
For Christmas 2001 Danièle Sauvageau the head coach of the Canada women national ice hockey team from 2000 to 2002 and video editor named Ryan Jankowski prepared a video named Just Smile given as part of a Christmas package to each of the players.,sport
"Swimming forms include Resistance swimming, Stunt swimming, Winter swimming.",sport
Paralympic judo competition is governed by the  International Judo Federation rules with some modifications specified by the International Blind Sports Association.,sport
Rugby union  in Afghanistan.,sport
Rugby union  in Italy.,sport
Skateboarding now a discipline within roller sports is Included at the 2020 Summer Olympics.,sport
Flickerball is a group sport played with an American football in similar situations to dodgeball such as Gym Class or PE (Physical Education) classes.,sport
"Flickerball is played with a rubber football and incorporates many features of basketball, football, speedball, ultimate frisbee and hockey.",sport
Generally speaking the rules of blind football are very similar to the rules of futsal.,sport
World Gymnastics Championships.,sport
Similarly lacrosse sticks have a loose netting that is used to catch and fling the ball but again lacrosse is not usually considered a net sport.,sport
Cameron TC Metro Detroit High School Basketball Rivalries.,sport
This version of the game is a favorite of the Sheboygan North Cross Country team and the Sheboygan Community as a whole.,sport
In handball seven referee pairs were selected by South Asian Handball Federation while one pair was nominated by  Asian Handball Federation.,sport
"Floor hockey, Floorball,  Ball hockey,  Field hockey or  grass hockey are similar sports.",sport
List of techniques used in Shitō ryū style of Karate.,sport
Polo a similar horseback game played with a ball.,sport
Iomain is a variation of shinty hurling using a compromise stick piloted once in 2013.,sport
Composite rules shinty hurling sometimes known simply as shinty hurling is a hybrid sport which was developed to facilitate international matches between shinty players and hurling players.,sport
International Gymnastics Hall of Fame.,sport
NCAA Men Gymnastics championship.,sport
NCAA Women Gymnastics championship.,sport
Aquatic locomotion non human swimming.,sport
Touch football also known as Touch Rugby.,sport
Major achievements in gymnastics by nation.,sport
The Ball Game an 1898 American baseball documentary sports film.,sport
Special Hockey.,sport
Camel wrestling.,sport
Street hockey.,sport
Skater hockey.,sport
Alligator wrestling.,sport
Bull wrestling.,sport
The British Land Speedsail Association is the UK national governing body for Blokart sailing and Land Speedsailing.,sport
The Quebec City area is the centre of  ice canoeing activity but there are teams elsewhere in the province of Quebec.,sport
Glossary of gymnastics terms.,sport
Fenerbahçe Swimming is the men and women swimming department of Fenerbahçe SK a major sports club in Istanbul Turkey.,sport
"This means that if a kayaker is surfing a wave, and a kayaker or a raft is coming downstream, the surfing kayaker should give way to the upstream paddlers.",sport
"volleyball, footvolley, headis or sepak takraw where players must hit the ball with body.",sport
Wrestling in Turkey.,sport
Roller Hockey International was a professional inline hockey league that operated in North America from 1993 to 1999.,sport
Indoor field hockey.,sport
"This means that the large population of horse racing bettors are often unwilling to migrate to hamster racing because to do so would require either placing uninformed, pure chance bets or learning to judge and handicap an entirely new animal.",sport
"Baseball park, the reference in the phrase take me to the ballgame.",sport
The Spider phaeton is one of the more commonly used types of carriage for dressage.,sport
International Radio Sailing Association formerly the ISAF Radio Sailing Division is an affiliate member of the International Sailing Federation that sanctions radio controlled sailing competitions.,sport
Animals in professional wrestling.,sport
IIHF  InLine Hockey World Championship.,sport
"Roller inline hockey or inline hockey is a variant of hockey played on a hard, smooth surface, with players using inline skates to move and ice hockey sticks to shoot a hard, plastic puck into their opponent goal to score points.",sport
FIRS  Inline Hockey World Championships.,sport
A rubber ball generally larger than a tennis ball is used.,sport
Handball is a popular game played in schools in Australia a schoolyard variant of Four square.,sport
"Today IBWA governs different  belt wrestling disciplines: freestyle, classical style, female belt wrestling,  beach belt wrestling,  snow belt wrestling in five age groups: cadets, juniors, students, seniors, and veterans in twelve weight categories.",sport
"For the presentation and dressage phase, carriages and harness are often leather, built along traditional lines, and designed for attractive appearance.",sport
"There is also a category called Triathlon three rounds with different weapons, the first one longsword, the second one sword buckler, the third one shield sword.",sport
"In a similar way, people generally do not refer to soccer as an English sport or basketball to be American.",sport
River trekking a combination of trekking and climbing and sometimes swimming along a river.,sport
"The governing bodies of the following sports are recognized by the IOC: Polo, Powerboating, Racquetball, Roller sports, Ski mountaineering, Sport climbing.",sport
A kayaker may not enter a play feature that another kayaker is surfing unless they are invited on for a party surf.,sport
Universal football is a combination of rugby league  and Australian rules football trialed briefly in the early 20th century.,sport
"Volata is a code of football developed and promoted by Italian fascists for a brief period during the late 1920s and early 1930s, in an attempt to displace sports with non Italian origins, such as association football and rugby union.",sport
The game we know as tennis today grew out of an adaptation called lawn tennis to distinguish it from the older indoor version ie royal tennis.,sport
Several years ago very few people knew anything about  belt wrestling.,sport
The  Belt Wrestling has been treated and accepted as the old traditional sports in the Central Asia region.,sport
They play in this manner one player versus other one or two players versus other two like  beach tennis.,sport
Minkey is a modified form of  field hockey designed for primary school children.,sport
US politician Tim Pawlenty played a variant of  boot hockey as a child.,sport
Today wrestling as a national sport cannot be ascribed to any single country.,sport
Belt wrestling is also one of the disciplines of the Worldwide Nomad Games.,sport
In tambutennis two players regularly stand in each side on a court split in half by a net like tennis.,sport
"The ball in this case cannot be made of rubber, because too fast, and then using the tennis ball type depressurized.",sport
These carriages have extending axles to make the rear wheels the required width for the dressage and cones phases (currently 138cm minimum for all pony and for single and tandem horse classes).,sport
"Downball a similar game, in which the ball is directed firstly into the ground (then the wall), rather than being directed directly at the wall as in Australian Handball.",sport
