Sentence,Intent_label
"Poco Bueno was a American Quarter Horse stallion foaled April 10, 1944.",pets
"Formal breeds often considered to be of the pit bull-type include the American Pit Bull Terrier, American Staffordshire Terrier, American Bully, and Staffordshire Bull Terrier.",pets
"The foundation breeding for what became the modern Olde English Bulldogge consisted of half English Bulldog, one-sixth Bullmastiff, one-sixth American Pit Bull Terrier and one sixth American Bulldog.",pets
"The Bull and Terrier is an extinct type of dog that was the progenitor of the Bull Terrier, Miniature Bull Terrier, Staffordshire Bull Terrier, American Pit Bull Terrier and American Staffordshire Terrier.",pets
The Bull and Terrier was a cross between the Old English Bulldog and a variety of Old English Terriers.,pets
"Heaven Sent Brandy is the world's smallest dog by length, measuring 15.2&nbsp;cm (6&nbsp;in), according to the Guinness Book of World Records.Brandy was bred by Marlene and Matthew Ritzenthaler.",pets
"Her sire was an AKC registered Chihuahua, Sevenbark Devil's Gold, a UKC Best in Show winner and AKC Champion producer.",pets
"Her dam is Creel's Carmelita, a pointed AKC Chihuahua and AKC Champion producer.",pets
"Heaven Sent Brandy faced a challenge from Tom Thumb, a Jack Russell terrier-Chihuahua mix puppy.",pets
"Luckystar of Ware, was a male English Cocker Spaniel who won the title of Best In Show at Cruft's in both 1930 and 1931.",pets
"He was the first dog to retain the title, and the first of three dogs owned by H.S.Lloyd to win the Cruft's Best in Show title, including Tracey Witch of Ware, the granddaughter of Luckystar.",pets
"GCH Roundtown Mercedes of Maryscot (2 April 2005 - ), also known as Sadie, was a Scottish terrier from Mackinac Island in the U.S.state of Michigan.",pets
The English Cocker is closer to the working-dog form of the Field Spaniel and the English Springer Spaniel.,pets
"Outside the US, the breed is usually known simply as the Cocker Spaniel, as is the American Cocker Spaniel within the US.",pets
"Tracey Witch of Ware, was a female English Cocker Spaniel who won the title of Best In Show at Cruft's in both 1948 and 1950.",pets
"She was a descendant of a previous Cruft's Best in Show winner, Luckystar of Ware.",pets
"Ferry v.Rauhfelsen of Giralda (9 January 1937 – 1943) also known as Ferry, a Doberman Pinscher, best known for being Best in Show at the Westminster Kennel Club Dog Show in both 1939 while owned by Geraldine Rockefeller Dodge.",pets
"He was the grandfather of two-time champion, Rancho Dobe's Storm.",pets
Exquisite Model of Ware (born 9 July 1935) was a female English Cocker Spaniel who won the title of Best in Show at Crufts in both 1938 and 1939.,pets
She was the most successful female English Cocker Spaniel in Great Britain prior to the Second World War.,pets
Nemo A534 was a German Shepherd dog who served in the United States Air Force during the Vietnam War.,pets
"Salilyn's Condor (born October 5, 1987) also known as Robert, was an English Springer Spaniel, best known for being Best in Show at the Westminster Kennel Club Dog Show in Feb.1993.",pets
