Sentence,Intent_label
"It is made in ways similar to making lontong; compressed, rolled, and wrapped in banana leaves.",food
"it then evolves into a complete dish served with various side dishes such as fried chicken, empal gepuk (fried beef), jambal roti (salted fish), tahu goreng, tempeh, salted duck egg, sayur asem, with lalab and sambal.",food
Nasi timbel later evolved to nasi bakar.,food
"For example, bakpia and kue ku are Chinese Peranakan origin.",food
"kue putu  is derived from Indian puttu, while kue bugis, klepon, nagasari, getuk, lupis and wajik are native origin.",food
"on the other hand lapis legit, kue cubit, kastengel, risoles and pastel are European influenced.",food
It is quite similar to es teler and es doger although with different content.,food
"The ingredients consists of coconut, sea weed, milk, syrup, jackfruit, and many others.",food
"In 2013, 18 percent of respondents in a national poll in Romania declared ciorbă their favourite dish.",food
Types of ciorbă include:  Ciorbăde burtă or tripe soup and Ciorbă de rasol.,food
Types of ciorbă include: Ciorbă de fasole or bean soup  and Ciorbă de cartofi  or  potato soup.,food
Types of ciorbă include:  Ciorbă de ciocănele which is soup made from chicken legs and Ciorbă de perișoare or meatball soup and  Ciorbă de pește or fish soup.,food
Types of ciorbă include:  Ciorbă de praz or leek soup and Ciorbă de pui  or chicken soup and  Ciorbă de oase  or bones soup.,food
Types of ciorbă include: Ciorbă de sfeclă  or Romanian borscht and  Ciorbă de văcuță  or beef soup and Borș de burechiușe.,food
It is quite similar with es campur and es teler although with different contents.,food
"Empal gentong can be eaten with steamed rice, ketupat or lontong.",food
"Empal gentong originated from Battembat village, kecamatan Tengah Tani, Cirebon regency.",food
Javanese are more likely to cook their goat meat as tongseng or Javanese-style soupy gulai instead.,food
"Traditionally, sup kambing together with gulai and sate kambing are quite widespread during Eid al-Adha.",food
Paneer tikka masala is an Indian dish of marinated paneer cheese served in a spiced gravy.,food
It is a vegetarian alternative to chicken tikka masala.,food
"Sate kambing or goat satay is very popular in the country, especially in Java.",food
"The most famous recipes among others are sate kambing Jakarta, sate kambing Tegal from Central Java.",food
"Sate Maranggi from West Java, and sate kambing Madura from East Java.",food
"Nevertheless, sate kambing is a generic term to describes  mutton satay in the region, regardless to their specific recipes.",food
"Pecel pitik is a traditional chicken dish of the Kemiren Banyuwangi Osing tribe of East Java, Indonesia.",food
"According to tribal tradition, pecel pitik is sacred; it can only be served at certain events such as slametan or cleaning the village.",food
"Bugis and Makassar people often consumed burasa as a staple to replace steamed rice or ketupat, usually accompanied with Coto Makassar, konro, pallubasa or nasu lekku.",food
"Other popular tea sandwich fillings include tomatoes, pimento cheese, ham with mustard, smoked salmon, fruit jam,  curried chicken,  fish paste, and egg salad.",food
"The pain à la grecque is a typical Brussels pastry consisting of a simple rectangle of milk, bread, brown sugar, and cinnamon sprinkled with granulated sugar.",food
"Kya zan hinga is a grass noodle in chicken consommé dish in Burmese cuisine.It is made with mushrooms, bean, curd skin , lily stems, shrimp, garlic, pepper and sometimes fish balls.",food
"A Scotch egg consists of a soft or hard-boiled egg wrapped in sausage, meat, coated in bread crumbs  and baked or deep-fried.",food
"Nasi kebuli was influenced by Arab culture and its origin can be traced to Middle eastern cuisine, especially Yemeni Arabian influence Mandi rice or Kabsa, and also Indian cuisine influence Biryani rice.",food
Not everyone can cook pecel pitik.,food
The cook may not speak while making the pecel pitik and must not cut the chicken with a knife; it must be broken by hand.,food
"A corned beef sandwich is a sandwich filled with corned beef, traditionally served with mustard and a pickle.",food
"Romanian borș soup recipes can include various kinds of vegetables and any kind of meat, including fish.",food
"Borș or ciorbă de perișoare, a broth with meatballs is quite common.",food
"In Medan, a lot of Sate Padang use not only beef but also chicken and lamb.",food
"There are three types of sate padang, which are Sate Padang, Sate Padang Panjang, Sate Pariaman.",food
